DisplayName,ConnectorName,Enabled,Provider
Alsid for Active Directory (Preview),AlsidForAD,FALSE,Microsoft
Amazon Web Services,AWS,FALSE,Amazon
Azure Active Directory,AzureActiveDirectory,FALSE,Microsoft
Azure Active Directory Identity Protection,AzureActiveDirectoryIdentityProtection,FALSE,Microsoft
Azure Activity,AzureActivity,FALSE,Microsoft
Azure Firewall,AzureFirewall,FALSE,Microsoft
Azure Information Protection,OfficeIRM,FALSE,Microsoft
Azure Web Application Firewall (WAF),WAF,FALSE,Microsoft
CheckPoint,CheckPoint,FALSE,CheckPoint
Cisco ASA,CiscoASA,FALSE,Cisco
Cisco Umbrella (Preview),CiscoUmbrellaDataConnector,FALSE,Cisco
Cognni (Preview),CognniSentinelDataConnector,FALSE,Cognni
Common Event Format (CEF),CEF,FALSE,Microsoft
Cyberpion Security Logs (Preview),CyberpionSecurityLogs,FALSE,Cyberpion
DNS (Preview),DNS,FALSE,Microsoft
Eset Security Management Center (Preview),EsetSMC,FALSE,Eset
F5 Networks,F5,FALSE,F5 Networks 
Fortinet,Fortinet,FALSE,Fortinet
Infoblox NIOS (Preview),InfobloxNIOS,FALSE,Infoblox
Microsoft Advanced Threat Protection,OfficeATP,FALSE,Microsoft
Microsoft 365 Defender (Preview),MicrosoftThreatProtection,FALSE,Microsoft
Microsoft Defender for Cloud,AzureSecurityCenter,FALSE,Microsoft
Microsoft Defender for Cloud Apps,MicrosoftCloudAppSecurity,FALSE,Microsoft
Microsoft Defender for Endpoint,MicrosoftDefenderAdvancedThreatProtection,FALSE,Microsoft
Office 365,Office365,FALSE,Microsoft
Palo Alto Networks (Firewall),PaloAltoNetworks,FALSE,Palo Alto
Proofpoint On Demand Email Security (Preview),ProofpointPOD,FALSE,Proofpoint
Pulse Connect Secure (Preview),PulseConnectSecure,FALSE,Pulse Secure
Qualys Vulnerability Management (Preview),QualysVulnerabilityManagement,FALSE,Qualys
Security Events via Legacy Agent,SecurityEvents,FALSE,Microsoft
Sophos XG Firewall (Preview),SophosXGFirewall,FALSE,Sophos
Symantec ProxySG (Preview),SymantecProxySG,FALSE,Symantec
Syslog,Syslog,FALSE,Microsoft
Threat intelligence - TAXII,ThreatIntelligenceTaxii,FALSE,Microsoft
Threat Intelligence Platforms (Preview),ThreatIntelligence,FALSE,Microsoft
Trend Micro Vision One (Preview),TrendMicroXDR,FALSE,Trend Micro
VMware Carbon Black Endpoint Standard (Preview),VMwareCarbonBlack,FALSE,VMware
Windows Firewall,WindowsFirewall,FALSE,Microsoft
Windows Security Events via AMA,WindowsSecurityEvents,FALSE,Microsoft
Zscaler,Zscaler,FALSE,Zscaler
